BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0302000Z0BBAAAA,Trelegy Ellipta 92microg/55microg/22microg/dose dry pdr inh,Fluticasone/umeclidinium/vilanterol
0302000Z0AAAAAA,Generic Trelegy Ellipta 92microg/55microg/22microg/dose inh,Fluticasone/umeclidinium/vilanterol
0503010AWAAABAB,Cabotegravir 600mg/3ml prolonged-release inj vials,Cabotegravir
0703021R0BBAAAA,Slynd 4mg tablets,Drospirenone
0703021R0AAAAAA,Drospirenone 4mg tablets,Drospirenone
0908020A0AAAAAA,Haem arginate 250mg/10ml solution for infusion ampoules,Haem arginate
0913311D0BCAAAB,Fortisip Range Starter Pack liquid,Ready to serve 1.5 kcal/ml milkshake (0913311)
0913311H0BBAAAA,Ensure Plus yoghurt style liquid,Ready to serve 1.5 kcal/ml yoghurt style drink (0913311)
0913311I0BBAAAA,Ensure Plus Creme (3 flavours),RtS 1.4 - 2 kcal/ml dessert style (milk based) (0913311)
0913444A0BCAAAB,Low Fat Module powder,Powder disc or non ACBS infant formula (0913444)
0913451G0BCAAAC,Mevalia low protein mini baguette,Food replacer discontinued or OTC rolls/baguettes (0913451)
0913451A0BBAAAA,Mevalia low protein magdalenas,Food replacer discontinued or OTC cakes (0913451)
0913451K0BBAAAA,Juvela low protein pizza base,Food replacer discontinued or OTC pizza bases (0913451)
0913451I0BCAAAB,Mevalia low protein egg replacer,Food replacer discontinued or OTC egg replacer (0913451)
0913521A0BBADAB,Optifast shake oral powder 55g sachets chocolate,Powder OTC milkshake meal replacer (0913521)
0913572A0BBAAAA,TYR Maxamum powder,Pdr disc/non ACBS Protein SfI metabolic cond (inf) (091357)
0913631B0BBAAAA,Forticare liquid cappuccino,Ready to serve 1.6 kcal/ml milkshake lower volume (0913631)
0913651A0BBAAAA,Nutriprem Human Milk Fortifier oral powder 1g sachets,Powder preterm human milk fortifier (0913651)
0913671B0BBACAA,SLO Milkshake+ IDDSI 3 Moderately Thick pdr 50g sach s/berry,Powder 1.7 kcal/ml milkshake pre-thickened (0913671)
0913671B0BBAAAA,SLO Milkshake+ IDDSI 3 Moderately Thick pdr 50g sach banana,Powder 1.7 kcal/ml milkshake pre-thickened (0913671)
0913671B0BBAFAB,SLO Milkshake+ IDDSI 2 Mildly Thick pdr 50g sach s/berry,Powder 1.7 kcal/ml milkshake pre-thickened (0913671)
0913671C0BBABAA,SLO Milkshake+ IDDSI 1 Slightly Thick pdr 50g sach choc,Powder 1.3 kcal/ml milkshake pre-thickened (0913671)
0913671B0BBABAA,SLO Milkshake+ IDDSI 3 Moderately Thick pdr 50g sach choc,Powder 1.7 kcal/ml milkshake pre-thickened (0913671)
0913671C0BBAAAA,SLO Milkshake+ IDDSI 1 Slightly Thick pdr 50g sach banana,Powder 1.3 kcal/ml milkshake pre-thickened (0913671)
0913671B0BBAEAB,SLO Milkshake+ IDDSI 2 Mildly Thick pdr 50g sach choc,Powder 1.7 kcal/ml milkshake pre-thickened (0913671)
0913671C0BBACAA,SLO Milkshake+ IDDSI 1 Slightly Thick pdr 50g sach s/berry,Powder 1.3 kcal/ml milkshake pre-thickened (0913671)
0913671B0BBADAB,SLO Milkshake+ IDDSI 2 Mildly Thick pdr 50g sach banana,Powder 1.7 kcal/ml milkshake pre-thickened (0913671)
0914061A0BBAAAA,Osmolite HP liquid,Tube feed non ACBS 1kcal/ml higher protein (0914061)
1305030E0AAAAAA,Brodalumab 210mg/1.5ml inj pre-filled syringes,Brodalumab (Psoriasis)
21180000106,SureEase maintenance ring set,Erectile Dysfunction Devices
21180000040,Osbon ErecAid Classic vacuum pump,Erectile Dysfunction Devices
21180000016,Pos-T-Vac vacuum pump manual,Erectile Dysfunction Devices
21180000109,Ultra maintenance ring set,Erectile Dysfunction Devices
21180000108,Ultimate (Surefit) maintenance ring set,Erectile Dysfunction Devices
21180000041,Osbon ErecAid Esteem vacuum pump,Erectile Dysfunction Devices
21180000051,Accord vacuum pump manual,Erectile Dysfunction Devices
21180000107,Select maintenance ring set,Erectile Dysfunction Devices
21180000001,Elite vacuum pump,Erectile Dysfunction Devices
21180000100,SomaErect Response II vacuum pump,Erectile Dysfunction Devices
21180000103,SomaCorrect Xtra vacuum pump,Erectile Dysfunction Devices
21180000101,SomaErect Touch II vacuum pump,Erectile Dysfunction Devices
21180000043,Osbon ErecAid Standard tension ring,Erectile Dysfunction Devices
21180000010,Rapport Classic vacuum pump,Erectile Dysfunction Devices
21180000044,Osbon ErecAid High tension ring,Erectile Dysfunction Devices
21180000104,SomaErect Response II XL vacuum pump,Erectile Dysfunction Devices
21180000102,SomaCorrect vacuum pump,Erectile Dysfunction Devices
21180000084,Constrictor ring size 4,Erectile Dysfunction Devices
21180000042,Osbon ErecAid MaxElasticity tension ring,Erectile Dysfunction Devices
21180000081,Constrictor ring size 1,Erectile Dysfunction Devices
21180000009,VaxAid Hydropump V30 vacuum pump,Erectile Dysfunction Devices
21180000082,Constrictor ring size 2,Erectile Dysfunction Devices
