BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0105020A0AAAIAI,Budesonide 4mg suppositories,Budesonide
0105020A0BCADAI,Budenofalk 4mg suppositories,Budesonide
0109040N0AABBBB,"Generic Pangrol 10,000 capsules",Pancreatin
0202030S0BKAAEH,Urospir 50mg/5ml oral solution,Spironolactone
0202030S0AAEHEH,Spironolactone 50mg/5ml oral solution sugar free,Spironolactone
0202030S0AAEIEI,Spironolactone 25mg/5ml oral solution sugar free,Spironolactone
0206030Z0BCABAB,Anzipro 500mg modified-release tablets,Ranolazine
0401010R0AAATAT,Nitrazepam 450micrograms/5ml oral suspension,Nitrazepam
0407010P0AAAGAG,Nefopam 60mg tablets,Nefopam hydrochloride
0407020AGBDACAE,Tadomon 150mg prolonged-release tablets,Tapentadol
0501070W0AAADAD,Linezolid 600mg/300ml solution for infusion bottles,Linezolid
0601023ABBGAAAA,Biolide 6mg/ml solution for injection 3ml pre-filled pens,Liraglutide
0604012S0BDAECD,Utrogestan 300mg vaginal capsules,Progesterone
0704020AFAAAAAA,Vibegron 75mg tablets,Vibegron
0801050AKAAADAD,Temoporfin 6mg/6ml solution for injection vials,Temoporfin
0803042V0AAABAB,Apalutamide 240mg tablets,Apalutamide
0901020G0AACQCQ,Folic acid 12.5mg/5ml oral liquid,Folic acid
0901020D0BQAAAF,ActivB12 1mg tablets,Cyanocobalamin
0902012H0BZACAQ,Electrorush ORS oral powder sachets blackcurrant,Oral rehydration salts
0902021S0BNALAY,Sodium chloride 0.9% infusion 500ml Freeflex Plus bags,Sodium chloride
0906040G0BIARCS,Pro D3 800unit tablets,Colecalciferol
0906040G0BIAUDK,"Pro D3 25,000unit tablets",Colecalciferol
0906040G0ENAHEK,"Aace D3 25,000unit capsules",Colecalciferol
0913282B0BCABAE,Paravit-Mod capsules,Tablets/capsules micronutrient supplement (0913282)
0913461C0BHADAQ,Orgran gluten free pizza & pastry mix,Specialist food replacer OTC/disc flour type mixes (0913461)
0913461J0BCABAB,Juvela gluten free tea biscuits,Specialist food replacer OTC/disc sweet biscuits (0913461)
0913691A0BBAAAA,PDE reach5 oral powder 18g sachets,Powder: 5g protein equivalent (0913691)
0914011J0AAAAAA,Generic Nutrison Energy Multi Fibre liquid,Tube feed 1.5 kcal/ml with fibre (0914011)
1003020AFBCACAB,Motusol Max 12 Hour Pain Relief 2.32% gel,Diclofenac diethyl
1103010AMAAAAAA,Netilmicin 3mg/ml eye drops 0.3ml unit dose,Netilmicin (Eye)
1104010I0BLAAAX,Etacortilen 1.5mg/ml eye drops 0.3ml unit dose,Dexamethasone
1104020AEAAABAB,Ciclosporin 900microg/ml eye drops 0.25ml ud preserv free,Ciclosporin (Eye Anti Inflammatory)
1203030A0BBAJAA,Strepsils Menthol 1.2mg/600microgram lozenges,Amylmetacresol
1404000H0CFAAAS,Fluenz (trivalent) vaccine nasal suspension 0.2ml unit dose,Influenza
1501020W0AAAAAA,Methoxyflurane 99.9% inhalation vapour 3ml btl with device,Methoxyflurane
20032100116,UNO dressing kit 15cm x 15cm,Wound Management & Other Dressings
20033000471,Clarity Care Silicone Postoperative dressing 6cm x 9cm,Wound Management & Other Dressings
20033000480,Clarity Care Silicone Foam Non-Border dressing 7.5cm x 7.5cm,Wound Management & Other Dressings
20033000472,Clarity Care Silicone Postoperative dressing 10cm x 10cm,Wound Management & Other Dressings
20050300491,Duratwix Uni-Vario tracheostomy tube with two inner cannulas short 72mm length,Tracheostomy & Laryngectomy Appliances
21012600212,LimbO limb protector adult elbow extra slim,Other Appliances
21012600199,Transurethral Catheter Safety Valve,Other Appliances
21012600209,Apollo BV Pen hypod insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge,Other Appliances
21012600208,Apollo BV Pen hypod insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge,Other Appliances
21012600205,Apollo BV safety lancets 1.8mm/30gauge,Other Appliances
21020001594,2 way foy all slc cath+glyc filled syrg for inflation & empty syrg for deflation female 12Ch-24Ch,Catheters
21020001595,2 way foy all slc cath+glyc filled syrg for inflation&empty syrg for deflation Tiemann tip 12Ch-24Ch,Catheters
21270002997,Juzo Intenso class 2 (23-32mmHg) below knee closed toe with silicone top band,Lymphoedema Garments
21270002981,Juzo Basic class 1 (18-21mmHg) tights closed toe,Lymphoedema Garments
21270002993,Juzo Intenso class 2 (23-32mmHg) below knee closed toe,Lymphoedema Garments
21270003005,Juzo Intenso class 2 (23-32mmHg) below knee closed toe with silicone top band max,Lymphoedema Garments
21270003000,Juzo Intenso class 2 (23-32mmHg) below knee open toe max,Lymphoedema Garments
21270002983,Juzo Basic class 2 (23-32mmHg) below knee closed toe,Lymphoedema Garments
22306153071,Urimed Vision latex free adhesive sheath type I standard 32mm,Incontinence Sheaths
22306153072,Urimed Vision latex free adhesive sheath type I standard 36mm,Incontinence Sheaths
22306153079,Urimed Vision latex free adhesive sheath type III ultra 25mm,Incontinence Sheaths
22306153070,Urimed Vision latex free adhesive sheath type I standard 29mm,Incontinence Sheaths
22306153074,Urimed Vision latex free adhesive sheath type II specific 25mm,Incontinence Sheaths
22306153076,Urimed Vision latex free adhesive sheath type II specific 32mm,Incontinence Sheaths
23301083280,Fulcionel ostomy/hernia support tube belt with hole cutting large 26cm black,Belts
23354103885,"Confidence BE soft convex colostomy bag with filter and overlap, standard 41mm white",Colostomy Bags
23355903745,Esteem Body soft convex colostomy bag large with window 7mm depth 40mm plateau 10mm-35mm,Colostomy Bags
23355903706,"Welland Aura Plus soft convex colostomy bag with filter, midi 13mm-25mm clear",Colostomy Bags
23355903758,Esteem Body soft convex colostomy bag standard with window 7mm depth 60mm plateau 10mm-55mm,Colostomy Bags
23355903754,Esteem Body soft convex colostomy bag standard with window 3.5mm depth 60mm plateau 10mm-55mm,Colostomy Bags
23605906285,Esteem Body soft convex ileostomy bag large 3.5mm depth 40mm plateau 10mm-35mm clear,Ileostomy Bags
23605906289,Esteem Body soft convex ileostomy bag large 7mm depth 40mm plateau 10mm-35mm clear,Ileostomy Bags
23605906341,Option Primo hydrocolloid ileostomy bag with filter and soft covering to one side 20mm-60mm clear,Ileostomy Bags
23605906363,"Softima Active Soft Convex High Flow ileostomy bag with filter, midi 15-45mm beige",Ileostomy Bags
23605906257,NovaLife TRE soft convex ileostomy bag maxi 25mm clear,Ileostomy Bags
23605906352,Option hydrocolloid low profile soft convex ileostomy bag with filter 47mm plateau 15-47mm clear,Ileostomy Bags
23605906263,Esteem Body soft convex ileostomy bag standard 3.5mm depth 40mm plateau 10mm-35mm clear,Ileostomy Bags
23605906342,Option Primo hydrocolloid ileostomy bag with filter and window 20mm-60mm opaque,Ileostomy Bags
23605906253,NovaLife TRE soft convex ileostomy bag midi 35mm clear,Ileostomy Bags
23965909827,"Moderma Flex s/convex urostomy bag + CeraPlus s/barr, diamond/barr & enhanced tap 25mm transparent",Urostomy Bags
23965909826,"Moderma Flex s/convex urostomy bag + CeraPlus s/barr, diamond/barr & enhanced tap 20mm transparent",Urostomy Bags
23965909819,Esteem Body soft convex urostomy bag standard with window 3.5mm depth 40mm plateau 10mm-35mm,Urostomy Bags
23965909789,Option Microskin urostomy bag with window 22mm,Urostomy Bags
