BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0302000C0AABXBX,Beclometasone 100microg/Formoterol 6microg/dose inh CFC free,Beclometasone dipropionate
0601023ADAAAAAA,Sitagliptin 50mg / Metformin 1g tablets,Metformin hydrochloride/sitagliptin
0905030G0BEAIBC,Colgate Fluorigard Fluoride Rinse Mouthwash Alcohol Free,Sodium fluoride
0913011D0BBAAAC,Aymes Actasolve Shake Fibre Starter Pack powder,Powder 1.4 - 1.6 kcal/ml milkshake with fibre (0913011)
0913011D0BBABAD,Aymes Actasolve Shake Fibre pdr 57g sachets banana milkshake,Powder 1.4 - 1.6 kcal/ml milkshake with fibre (0913011)
0913011D0BBACAD,Aymes Actasolve Shake Fibre pdr 57g sach classic chocolate,Powder 1.4 - 1.6 kcal/ml milkshake with fibre (0913011)
0913011D0BBADAD,Aymes Actasolve Shake Fibre pdr 57g sachets simply neutral,Powder 1.4 - 1.6 kcal/ml milkshake with fibre (0913011)
0913011D0BBAEAD,Aymes Actasolve Shake Fibre pdr 57g sachets strawberry burst,Powder 1.4 - 1.6 kcal/ml milkshake with fibre (0913011)
0913011D0BBAFAD,Aymes Actasolve Shake Fibre pdr 57g sachets smooth vanilla,Powder 1.4 - 1.6 kcal/ml milkshake with fibre (0913011)
0913011H0BBABAB,Aymes Actasolve Protein Compact pdr 57g banana milkshake,"Pdr 2.4 kcal/ml m/sk lower volume, higher protein (0913011)"
0913011H0BBACAB,Aymes Actasolve Protein Compact pdr 57g classic chocolate,"Pdr 2.4 kcal/ml m/sk lower volume, higher protein (0913011)"
0913011H0BBADAB,Aymes Actasolve Protein Compact pdr 57g sach simply neutral,"Pdr 2.4 kcal/ml m/sk lower volume, higher protein (0913011)"
0913011H0BBAEAB,Aymes Actasolve Protein Compact pdr 57g strawberry burst,"Pdr 2.4 kcal/ml m/sk lower volume, higher protein (0913011)"
0913011H0BBAFAB,Aymes Actasolve Protein Compact pdr 57g sach smooth vanilla,"Pdr 2.4 kcal/ml m/sk lower volume, higher protein (0913011)"
0913011W0BCABAD,Fresubin Pro Compact drink (5 flavours),"RtS 2.4 kcal/ml m/sk lower volume, higher protein (0913011)"
0913021J0BBABAB,Aymes Actajuni Shake powder 57g sachets banana milkshake,Powder 1.4 kcal/ml milkshake (0913021)
0913021J0BBACAB,Aymes Actajuni Shake powder 57g sachets classic chocolate,Powder 1.4 kcal/ml milkshake (0913021)
0913021J0BBADAB,Aymes Actajuni Shake powder 57g sachets strawberry burst,Powder 1.4 kcal/ml milkshake (0913021)
0913021J0BBAEAB,Aymes Actajuni Shake powder 57g sachets smooth vanilla,Powder 1.4 kcal/ml milkshake (0913021)
0913021J0BBAFAB,Aymes Actajuni Shake powder 57g sachets simply neutral,Powder 1.4 kcal/ml milkshake (0913021)
0913141A0BDAAAD,ProSource 20 liquid (3 flavours),RtS 1.4-1.5kcal/ml energy & higher protein liquid (0913141)
0913461G0BDAAAC,Juvela gluten free pizza base,Specialist food replacer OTC pizza bases (0913461)
20030900207,Askina DresSil Active dressing 7.5cm x 7.5cm,Wound Management & Other Dressings
21270001160,Haddenham Pertex Light custom fit class 1 (18-21mmHg) toe cap,Lymphoedema Garments
21270001161,Haddenham Pertex Light custom fit class 1 (18-21mmHg) below knee,Lymphoedema Garments
21270001162,Haddenham Pertex Light custom fit class 1 (18-21mmHg) thigh length,Lymphoedema Garments
21270001163,Haddenham Pertex Light custom fit class 1 (18-21mmHg) thigh length with waist attachment,Lymphoedema Garments
21270001164,Haddenham Pertex Light custom fit class 1 (18-21mmHg) panty,Lymphoedema Garments
21270001180,Haddenham Pertex Light custom fit class 1 (18-21mmHg) glove without fingers,Lymphoedema Garments
21270001181,Haddenham Pertex Light custom fit class 1 (18-21mmHg) glove with fingers,Lymphoedema Garments
21270001182,Haddenham Pertex Light custom fit class 1 (18-21mmHg) armsleeve wrist to axilla,Lymphoedema Garments
21270001183,Haddenham Pertex Light custom fit class 1 (18-21mmHg) armsleeve with glove no fingers,Lymphoedema Garments
21270001184,Haddenham Pertex Light custom fit class 1 (18-21mmHg) armsleeve with glove and fingers,Lymphoedema Garments
