vmp_snomed_code,vmp_product_name,vtm_id,vtm_nm
11499811000001108,Albendazole 200mg chewable tablets,774448003.0,Albendazole
45578311000001106,Apomorphine 10mg/15mg/20mg/25mg/30mg sublingual films sugar free treatment initiation pack,774625001.0,Apomorphine
39077211000001105,Avapritinib 300mg tablets,838471001.0,Avapritinib
45707711000001102,Benzatropine 2mg/2ml solution for injection vials,774786006.0,Benzatropine
45657911000001102,Denosumab 120mg/1.7ml solution for injection pre-filled syringes,775477008.0,Denosumab
45750511000001102,Hydralazine 20mg/1ml solution for injection vials,776219009.0,Hydralazine
12759911000001103,Liothyronine 50micrograms/5ml oral solution,776546003.0,Liothyronine
27890211000001107,Nadolol 10mg/5ml oral solution,776851004.0,Nadolol
45633511000001100,Ropivacaine 400mg/200ml solution for injection polyethylene bottles,777465002.0,Ropivacaine
41750411000001102,Sodium iodide [I-131] 1.11GBq/1.2ml solution for injection vials,783855009.0,Sodium iodide [I-131]
45406111000001108,Tapentadol 100mg tablets,777675005.0,Tapentadol
45722911000001109,Tisotumab vedotin 40mg powder for solution for infusion vials,4.572581100000111e+16,Tisotumab vedotin
44107511000001109,Generic Altrapro liquid,,
42429911000001107,Generic Corn (Maize) (Zea mays) pollen 2.85mg/ml solution for skin prick test,,
45483111000001104,Generic Nutrison Bolus Energy HP liquid,,
42532011000001109,Generic Watermelon 25micrograms/ml solution for skin prick test,,
41910511000001102,Non-woven fabric swab 4ply sterile 10cm x 10cm,,
